id,release_date,movie,production_budget,domestic_gross,worldwide_gross,net_profit,ROI,release_year,clean_movie,clean_title_x,start_year_x,genres,primary_genre,clean_title_y,start_year_y,averagerating,numvotes
55,2011-03-11,Red Riding Hood,42000000.0,37662162.0,91678442.0,49678442.0,1.1828200476190476,2011,red riding hood,red riding hood,2011.0,"Fantasy,Horror,Mystery",Fantasy,red riding hood,2011,5.5,102369
58,2018-12-25,Holmes & Watson,42000000.0,30568743.0,41926605.0,-73395.0,-0.0017475,2018,holmes & watson,holmes & watson,2018.0,"Adventure,Comedy,Crime",Adventure,holmes & watson,2018,3.8,17661
59,2012-01-27,One for the Money,42000000.0,26414527.0,36197221.0,-5802779.0,-0.13816140476190475,2012,one for the money,one for the money,2012.0,"Action,Comedy,Crime",Action,one for the money,2012,5.3,38473
64,2012-01-27,Man on a Ledge,42000000.0,18620000.0,49621440.0,7621440.0,0.18146285714285715,2012,man on a ledge,man on a ledge,2012.0,"Action,Adventure,Crime",Action,man on a ledge,2012,6.6,137507
65,2010-12-03,The Warrior's Way,42000000.0,5666340.0,8514325.0,-33485675.0,-0.7972779761904762,2010,the warrior's way,the warrior's way,2010.0,"Action,Fantasy,Western",Action,the warrior's way,2010,6.3,24271
71,2019-05-31,Rocketman,41000000.0,57342725.0,108642725.0,67642725.0,1.6498225609756099,2019,rocketman,rocketman,2019.0,"Biography,Drama,Music",Biography,rocketman,2019,7.7,24266
74,2011-10-14,The Big Year,41000000.0,7204138.0,7684524.0,-33315476.0,-0.8125725853658536,2011,the big year,the big year,2011.0,Comedy,Comedy,the big year,2011,6.2,39522
77,2010-06-11,The Karate Kid,40000000.0,176591618.0,351774938.0,311774938.0,7.79437345,2010,the karate kid,the karate kid,2010.0,"Action,Drama,Family",Action,the karate kid,2010,6.2,146401
78,2015-02-13,Fifty Shades of Grey,40000000.0,166167230.0,570998101.0,530998101.0,13.274952525,2015,fifty shades of grey,fifty shades of grey,2015.0,"Drama,Romance,Thriller",Drama,fifty shades of grey,2015,4.1,279126
80,2013-12-13,American Hustle,40000000.0,150117807.0,257878294.0,217878294.0,5.44695735,2013,american hustle,american hustle,2013.0,"Crime,Drama",Crime,american hustle,2013,7.2,418221
83,2014-07-25,Lucy,40000000.0,126573960.0,457507776.0,417507776.0,10.4376944,2014,lucy,lucy,2014.0,"Action,Sci-Fi,Thriller",Action,lucy,2014,6.4,403194
84,2013-12-25,Lone Survivor,40000000.0,125095601.0,149804632.0,109804632.0,2.7451158,2013,lone survivor,lone survivor,2013.0,"Action,Biography,Drama",Action,lone survivor,2013,7.5,246641
91,2010-10-01,The Social Network,40000000.0,96962694.0,224922135.0,184922135.0,4.623053375,2010,the social network,the social network,2010.0,"Biography,Drama",Biography,the social network,2010,7.7,568578
